mu,rm,seed,ordered,bd_mean,bd_std,deg_mean,deg_std
1.0,4,0,False,0.6579581870092732,0.003225733790844324,3.1125203450520833,0.02358842960970342
1.0,4,1,False,0.6574213370257465,0.0030541922934885675,3.122367350260417,0.019705457907072888
1.0,4,10,False,0.6585113335085656,0.0026376980761114066,3.1117838541666667,0.01380830300741601
1.0,4,11,False,0.6589205022001053,0.0031927988220275716,3.13544921875,0.016815795887360742
1.0,4,12,False,0.656934890724246,0.002874297055670202,3.1199055989583333,0.019348816697846032
1.0,4,13,False,0.6582615848215421,0.0024750835363859264,3.119637044270833,0.02191133055616824
1.0,4,14,False,0.6581758880302373,0.002554510512173859,3.1114217122395833,0.02770448754805073
1.0,4,15,False,0.6576268188994275,0.0023021310949805566,3.10955810546875,0.012918275020303538
1.0,4,16,False,0.6583340687559929,0.0032528781918133853,3.104134114583333,0.015927250294281166
1.0,4,17,False,0.6580170226304797,0.0024465979228853675,3.1293131510416665,0.03034944461179577
1.0,4,18,False,0.6581156508258095,0.002731707122331855,3.116707356770833,0.013605590477081656
1.0,4,19,False,0.6576902468468844,0.002956503141961005,3.11080322265625,0.018620215368896492
1.0,4,2,False,0.657190045021003,0.0028420018198525997,3.129105631510417,0.019579344556284076
1.0,4,20,False,0.6586663917507726,0.0035975411494323976,3.115372721354167,0.027098284775873272
1.0,4,21,False,0.6568887829611858,0.002625421610349463,3.112992350260417,0.01977206187757395
1.0,4,22,False,0.6576793828484399,0.003185095526083303,3.1005126953125,0.017405092055900927
1.0,4,23,False,0.6576693304133905,0.002388244599236253,3.1325032552083334,0.021204559260171018
1.0,4,24,False,0.6585483401367781,0.0029134057432635375,3.128120930989583,0.03202953308176758
1.0,4,25,False,0.6585274568461519,0.0027534386457594563,3.113480631510417,0.013429046874972289
1.0,4,26,False,0.6575386732313352,0.0030439942848028917,3.1287353515625,0.022809660225310596
1.0,4,27,False,0.6589273991639292,0.0027464624857800805,3.097578938802083,0.03177171533954973
1.0,4,28,False,0.6579249011672098,0.0031953190986712047,3.12955322265625,0.019450418419329346
1.0,4,29,False,0.6574723060303049,0.0028250955388529875,3.11483154296875,0.022070077315346177
1.0,4,3,False,0.6578110287761932,0.003238302042198162,3.116011555989583,0.025427541712247464
1.0,4,30,False,0.6587720964679191,0.0034393406710441538,3.115958658854167,0.021735987908363216
1.0,4,31,False,0.6579856914836403,0.0025077320185314545,3.103409830729167,0.021467346224483545
1.0,4,32,False,0.6596467624262264,0.0030747357920449018,3.124039713541667,0.025027504996270235
1.0,4,33,False,0.6596733642728634,0.002955655494066225,3.1075032552083335,0.02432495811112916
1.0,4,34,False,0.6582638865760265,0.0038651281096958832,3.1191731770833333,0.023660298766822966
1.0,4,35,False,0.6580152924621567,0.002851475783232737,3.122847493489583,0.03405737630317603
1.0,4,36,False,0.6577168545717147,0.003474570066614554,3.1267049153645834,0.023026173304552765
1.0,4,37,False,0.6588440376002254,0.0028964314417553204,3.1025105794270833,0.02740630638622291
1.0,4,38,False,0.6572615226852345,0.00308418568121359,3.11297607421875,0.018458622993309054
1.0,4,39,False,0.6584852684931514,0.003110358634163676,3.1279256184895834,0.020631603843836145
1.0,4,4,False,0.6589920779131457,0.0033485070728780757,3.1258341471354165,0.023920592353044196
1.0,4,40,False,0.6574837745569385,0.0027676465002568866,3.13812255859375,0.018244720816758268
1.0,4,41,False,0.6591679329551575,0.002863928668341107,3.1253092447916666,0.023578510654004074
1.0,4,42,False,0.6576976687915688,0.00284929569676492,3.131827799479167,0.016106557759854666
1.0,4,43,False,0.6573669785215294,0.002803318110090416,3.113936360677083,0.024770860476274432
1.0,4,44,False,0.6580860532317452,0.002462396071619867,3.129052734375,0.01877287423078218
1.0,4,45,False,0.6576866437396548,0.0027696240347899995,3.131599934895833,0.009358791185220499
1.0,4,46,False,0.6581441200242487,0.0038292203088851756,3.11412353515625,0.021072446402712653
1.0,4,47,False,0.6579661493730193,0.003069025965015207,3.11326904296875,0.024426375272421256
1.0,4,48,False,0.6579569720720844,0.002756699220416126,3.140450032552083,0.025388525525534285
1.0,4,49,False,0.6587710732796145,0.0026202021989584264,3.12109375,0.015729554363129505
1.0,4,5,False,0.6576111657138042,0.0033222203656462297,3.10078125,0.013181883147606755
1.0,4,50,False,0.6581112640346248,0.002398380410506603,3.1182902018229166,0.02718133343690391
1.0,4,51,False,0.6578429763558175,0.002876224973191382,3.1491048177083334,0.030296771719917567
1.0,4,52,False,0.658540906697512,0.002420827707620734,3.12156982421875,0.033694035524245734
1.0,4,53,False,0.6582340906530535,0.002708176318355139,3.123307291666667,0.02292985536628319
1.0,4,54,False,0.6576563067354255,0.003382535917586464,3.11915283203125,0.023452824774711143
1.0,4,55,False,0.657802467172125,0.0024321300861088716,3.10621337890625,0.024850516647338408
1.0,4,56,False,0.6581639933474019,0.0034792433359802765,3.1234537760416665,0.031308712376363006
1.0,4,57,False,0.6575246697383755,0.002938744276736613,3.1086995442708334,0.029389615807880715
