mu,rm,seed,ordered,bd_mean,bd_std,deg_mean,deg_std
0.33,4,0,False,0.10884602529823101,0.012216531328264047,7.050252075195313,0.4809669326928733
0.33,4,1,False,0.10733768918471495,0.010821324279530637,7.098516845703125,0.4597964083252141
0.33,4,10,False,0.10833574531319275,0.011385832898007283,7.06197021484375,0.4810063951501137
0.33,4,11,False,0.10777356517082932,0.011619419590844048,7.075623779296875,0.4706441949606571
0.33,4,12,False,0.10924941702329254,0.01260343409262463,7.021082763671875,0.49935377528235103
0.33,4,13,False,0.1091647453217201,0.012602979176507366,7.022029418945312,0.5003812383672894
0.33,4,14,False,0.10819792593505959,0.011542313429659137,7.062734375,0.476988847218043
0.33,4,15,False,0.10750699563480882,0.011199422762553932,7.103279418945313,0.45997241128634425
0.33,4,16,False,0.1091382262771004,0.012415270709266166,7.046388549804687,0.48463140486219664
0.33,4,17,False,0.1079506156384316,0.011629895336818743,7.0693292236328125,0.48215308864873235
0.33,4,18,False,0.10864538438871879,0.012377625278665413,7.024388427734375,0.49361001473202093
0.33,4,19,False,0.10834421130676397,0.01180008027544125,7.063046875,0.47494424696813714
0.33,4,2,False,0.10878402204321708,0.01209627220006222,7.0447454833984375,0.4850899903838683
0.33,4,20,False,0.109453086201675,0.012937784866851435,7.016085205078125,0.5036407672481983
0.33,4,21,False,0.10956949029887192,0.012647997345170975,7.007667236328125,0.5026115519224799
0.33,4,22,False,0.10890522196762252,0.012459426884981842,7.0484246826171875,0.4871670261064699
0.33,4,23,False,0.10847153648042455,0.011523478193776027,7.047230834960938,0.485794691800222
0.33,4,24,False,0.10792318118115371,0.011107417267035529,7.0805029296875,0.46865749578233434
0.33,4,25,False,0.11058606125288362,0.013332699088965581,6.979367065429687,0.5162937150347849
0.33,4,26,False,0.10855082197812684,0.012053310493906682,7.046718139648437,0.47981646121422455
0.33,4,27,False,0.10792007737341783,0.01177969526579702,7.0674560546875,0.47892958679871456
0.33,4,28,False,0.10839384403360645,0.01188306514658995,7.064785766601562,0.4778163765553715
0.33,4,29,False,0.10800229658833112,0.01107338190343095,7.080128784179688,0.4690057409584456
0.33,4,3,False,0.10735792884611021,0.010893016974704047,7.098248291015625,0.4557568382081969
0.33,4,30,False,0.10912894637718344,0.012252896909187277,7.0500048828125,0.4827246551766775
