mu,rm,seed,ordered,bd_mean,bd_std,deg_mean,deg_std
0.35,4,0,False,0.5446665667352193,0.0014522406834492293,3.9326263427734376,0.01094595420598165
0.35,4,1,False,0.5439678699877026,0.0022250268626649284,3.9370361328125,0.006754179181772349
0.35,4,10,False,0.4821382569397764,0.09887322659566603,4.0215911865234375,0.1458488814581939
0.35,4,11,False,0.5445120337092472,0.0019671113500478866,3.9411163330078125,0.012528878247350531
0.35,4,12,False,0.5446153594204108,0.0016252999421630552,3.9383026123046876,0.013009912719376066
0.35,4,13,False,0.17998995302817314,0.054051943902392,5.668487548828125,0.8144459935660513
0.35,4,14,False,0.5449861924384171,0.002195039781386922,3.9369659423828125,0.014060943901538716
0.35,4,15,False,0.545195014490011,0.0015280901587264592,3.9332061767578126,0.01128938438524216
0.35,4,16,False,0.5452520499795069,0.0021312074007446766,3.932666015625,0.008060202533677407
0.35,4,17,False,0.5448777526309777,0.0021367283796623567,3.9447509765625,0.007780764016904273
0.35,4,18,False,0.5453389468499966,0.0015072707557676486,3.939971923828125,0.009257596733701473
0.35,4,19,False,0.2693288786679734,0.12144793656616562,4.896420288085937,0.7485086668332834
0.35,4,2,False,0.5449740346621927,0.0021947450538684255,3.9388702392578123,0.005881734940575217
0.35,4,20,False,0.54500552911574,0.0018868270309476123,3.9371337890625,0.004368109215115524
0.35,4,21,False,0.3674602635996541,0.15016179917397116,4.422763061523438,0.5245893017687838
0.35,4,22,False,0.2696072049792178,0.1225478768326062,4.885964965820312,0.7424139258489421
0.35,4,23,False,0.5447461803136145,0.0013290226746667981,3.9497650146484373,0.009785122005227598
0.35,4,24,False,0.2965415762680788,0.13830354096766537,4.764926147460938,0.7022278842161873
0.35,4,25,False,0.5440115523718039,0.0019172149282022989,3.93106689453125,0.012123753102576781
0.35,4,26,False,0.5264452414064044,0.05362390547001124,3.95166015625,0.02791092382380617
0.35,4,27,False,0.5454344444393572,0.001320668643288289,3.9266845703125,0.014190629200198642
0.35,4,28,False,0.5447368834391831,0.001981316156293616,3.9287841796875,0.006268985047122211
0.35,4,29,False,0.5438409689530485,0.0013623899667812008,3.94554443359375,0.012520921603170426
0.35,4,3,False,0.3366401689063103,0.14689604098866962,4.55120849609375,0.5971745747210979
0.35,4,30,False,0.34601447297434895,0.14416103583450873,4.487881469726562,0.5576864716348852
0.35,4,31,False,0.44156465469648076,0.12963415103666928,4.146258544921875,0.3001683540127806
0.35,4,4,False,0.5443778571878715,0.002693850249056534,3.94644775390625,0.010436635150027766
0.35,4,5,False,0.31091714719250235,0.13769094742714055,4.659527587890625,0.6598244202978275
0.35,4,6,False,0.4111034143096507,0.13981441444702739,4.2377471923828125,0.3918507140721577
0.35,4,7,False,0.5439098567848776,0.0018530842611036507,3.9344329833984375,0.009888498250125327
0.35,4,8,False,0.5448056798542215,0.001573686916261987,3.9422637939453127,0.011440310654649817
0.35,4,9,False,0.25026628907514686,0.11765040943464475,5.060400390625,0.7881576365787321
