mu,rm,seed,ordered,bd_mean,bd_std,deg_mean,deg_std
0.35,4,0,False,0.10064951253190939,0.0044450424753907,7.797819010416666,0.006656801554115991
0.35,4,1,False,0.1008598742512032,0.005169219268922111,7.799446614583333,0.010341833248840922
0.35,4,10,False,0.09971208420128881,0.004794075716037158,7.794856770833333,0.008024006005533933
0.35,4,11,False,0.10051196759709755,0.004088182883026966,7.797347005208334,0.007934115404961677
0.35,4,12,False,0.1016820858955464,0.004210040183530796,7.795345052083333,0.007794915648966376
0.35,4,13,False,0.10164199244672283,0.005100785669437515,7.796728515625,0.010038623923927594
0.35,4,14,False,0.10073145139419289,0.0040106925041682,7.796875,0.007502178299661296
0.35,4,15,False,0.1006840202594914,0.0055222476917658305,7.797802734375,0.00964801411594267
0.35,4,16,False,0.09986155553294813,0.003876112786255861,7.795263671875,0.007624226765433458
0.35,4,17,False,0.10139071592587691,0.004703385300455296,7.795540364583333,0.009618796370919648
0.35,4,18,False,0.09853607376174459,0.004629014403185479,7.801188151041667,0.008961065895811051
0.35,4,19,False,0.10047109310652572,0.005274426749839075,7.794059244791667,0.008637365767740452
0.35,4,2,False,0.10014920202982794,0.0042652963840358535,7.794742838541667,0.0071144922119382075
0.35,4,20,False,0.10008979889427877,0.004881144826613586,7.7978515625,0.007232498617689658
0.35,4,21,False,0.09995526489163531,0.0050748710247801474,7.791764322916666,0.007956371125388604
0.35,4,22,False,0.09898396831997047,0.004608788788575444,7.801155598958333,0.010510101888307723
0.35,4,23,False,0.10089260750394373,0.0049654532617435555,7.79873046875,0.008781282725787924
0.35,4,24,False,0.10047855224316087,0.004282973293767632,7.799088541666666,0.007284760610719507
0.35,4,25,False,0.10072430987724747,0.005848992696898896,7.795524088541667,0.008952725451661685
0.35,4,26,False,0.09967291200463067,0.005142642923943415,7.796158854166666,0.00983191476708358
0.35,4,27,False,0.09994363559968332,0.004903578963230281,7.796891276041666,0.009183914257582679
0.35,4,28,False,0.10085325506613917,0.004280334847910832,7.794010416666667,0.009516461125975147
0.35,4,29,False,0.10067341706482447,0.0047247500087913554,7.795817057291667,0.005545928348956848
0.35,4,3,False,0.10136919806613243,0.004784463396433035,7.792513020833334,0.009595634195346033
0.35,4,30,False,0.09931777394130502,0.0048972818821614245,7.796744791666667,0.007234622710316945
0.35,4,31,False,0.10133451952364406,0.00485228241698959,7.797786458333333,0.009384433097827476
0.35,4,4,False,0.09954156960934173,0.005725470153367871,7.796565755208333,0.007089874388947036
0.35,4,5,False,0.09961304935484527,0.004171189544663424,7.798421223958333,0.010387188208417558
0.35,4,6,False,0.09946639413339423,0.00484562070747597,7.793912760416666,0.00873821858058787
0.35,4,7,False,0.10114929126864318,0.005052916694136413,7.797688802083333,0.011033667780022403
0.35,4,8,False,0.10004318839288856,0.004006370990018932,7.799983723958333,0.00687706579132755
0.35,4,9,False,0.10154156815229146,0.005472944853912962,7.800341796875,0.009541995135876759
