mu,rm,seed,ordered,bd_mean,bd_std,deg_mean,deg_std
0.35,4,0,True,0.1349903152803751,0.02741451056825856,6.521793619791667,0.7551491927306009
0.35,4,10,True,0.15773675416527505,0.046045179015258085,6.095621744791667,0.875416732127184
0.35,4,11,True,0.13980811012792976,0.03210089663125163,6.429410807291666,0.7974626624011134
0.35,4,12,True,0.15721717033785304,0.04448892464777025,6.073453776041666,0.875227113570842
0.35,4,13,True,0.13212760423975586,0.025671534385292353,6.635843912760417,0.7310229900610081
0.35,4,14,True,0.15858276613134917,0.04622360246871589,6.0603271484375,0.8915572871802225
0.35,4,15,True,0.16222954199152825,0.0497900813711593,6.008585611979167,0.9050111345123706
0.35,4,16,True,0.17560758902600973,0.05974233419594793,5.810221354166667,0.9199749619234462
0.35,4,17,True,0.1294946725965712,0.02399370383370212,6.70487060546875,0.6913889213947991
0.35,4,18,True,0.12651437708404975,0.021559707065315396,6.798225911458333,0.6593949978805571
0.35,4,19,True,0.1341825503283332,0.0270202593106877,6.567378743489583,0.7400752830036925
0.35,4,1,True,0.1286776249126668,0.02299491430478599,6.7049072265625,0.6891916123787541
0.35,4,20,True,0.13622480162456954,0.030207047496185156,6.537581380208334,0.7621689551617524
0.35,4,21,True,0.15036104637408332,0.04091650642815431,6.20164794921875,0.8628125544399147
0.35,4,22,True,0.19973699160355934,0.0763631174004433,5.49786376953125,0.943274393591217
0.35,4,23,True,0.17294118884718718,0.05632892379615909,5.849812825520833,0.9265233706152493
0.35,4,24,True,0.1354865427268508,0.02981167192270539,6.51302490234375,0.7623068439460634
0.35,4,25,True,0.18297480220359244,0.06652671384170966,5.719258626302083,0.9455765799753747
0.35,4,26,True,0.26135806406527445,0.13435673345785243,5.068741861979166,0.8891927640073922
0.35,4,27,True,0.23569020204353547,0.12082189454061501,5.275101725260416,0.9383981585205243
0.35,4,28,True,0.3352272897953104,0.152034266035284,4.59285888671875,0.6955382042571859
0.35,4,29,True,0.1326425944639026,0.02633858383027298,6.6292236328125,0.7317725288579627
0.35,4,2,True,0.2572664588159201,0.13478426453929554,5.103605143229166,0.9081123536027121
0.35,4,30,True,0.13159183334945473,0.025202752113980747,6.645308430989584,0.7153889156170835
0.35,4,31,True,0.13310820580150245,0.027628678450967482,6.5926513671875,0.736933269801441
0.35,4,32,True,0.13755993022870922,0.029951715374000897,6.481461588541666,0.7736469953093477
0.35,4,33,True,0.35217852306055436,0.15250060444954566,4.513680013020833,0.6612159371972179
0.35,4,34,True,0.15031080371041775,0.041785095041233136,6.188004557291666,0.8605323348911961
0.35,4,35,True,0.1594107035521528,0.04640618323622635,6.072469075520833,0.8790121680593337
0.35,4,36,True,0.14935247717811734,0.03909653388536874,6.252791341145834,0.8312891560927155
0.35,4,37,True,0.18221680961352804,0.06519183855945328,5.730810546875,0.9376932095540684
0.35,4,38,True,0.1714774672737205,0.05476670341979061,5.844930013020833,0.9109947557015163
0.35,4,39,True,0.2093944262633837,0.08714666210051396,5.439803059895834,0.9437366564300683
0.35,4,3,True,0.145293949581363,0.03793827487731138,6.321248372395833,0.8232349299398413
0.35,4,40,True,0.14597276111386795,0.038148015603074056,6.329976399739583,0.839247020535358
0.35,4,41,True,0.1715032773475248,0.05725168983580279,5.87288818359375,0.9237716642228065
0.35,4,42,True,0.1698293827912547,0.0556196109926981,5.893216959635416,0.9113831305678404
0.35,4,43,True,0.1275136597679107,0.022732567071159972,6.713094075520833,0.6813538818697035
0.35,4,44,True,0.2588005425041081,0.1288288527038402,5.087947591145833,0.9080029856975952
0.35,4,45,True,0.14425676305110674,0.03593523162378076,6.332796223958334,0.8256550818709765
0.35,4,46,True,0.17251390228456695,0.0561169492306482,5.848714192708333,0.9228267677559968
0.35,4,47,True,0.14239800646126619,0.034264389733081914,6.408638509114583,0.8082381811559869
0.35,4,48,True,0.16695525754596804,0.05252698949408612,5.938094075520834,0.9061916183067755
0.35,4,49,True,0.27687869902709156,0.1410568255320114,4.969388834635416,0.8798078835652829
0.35,4,4,True,0.2018272753306604,0.07789788583522676,5.49117431640625,0.9488246932582115
0.35,4,50,True,0.14020247249865808,0.03264434596165041,6.41878662109375,0.7905353762662505
0.35,4,51,True,0.17840573999694287,0.06091210558336455,5.77933349609375,0.9292049989238226
0.35,4,52,True,0.15900092432612273,0.046426906234779006,6.039595540364584,0.8838590509136979
0.35,4,53,True,0.2309859013595233,0.111098672528152,5.284208170572916,0.942224072770505
0.35,4,54,True,0.23061230316846665,0.1138380438282441,5.29365234375,0.9501285178481524
0.35,4,55,True,0.2938959030312614,0.14453719403294,4.858219401041667,0.8255029985685447
0.35,4,56,True,0.21821382301507516,0.10078404051777842,5.362992350260416,0.9427310214552879
0.35,4,57,True,0.14187697955684675,0.034947187396338564,6.397355143229166,0.813519583779695
0.35,4,58,True,0.23540701068409758,0.11322444919679754,5.219392903645834,0.9149021937546511
0.35,4,59,True,0.1410904161932783,0.03222941110468388,6.4046875,0.807107375900702
0.35,4,5,True,0.13713701537647344,0.0310127271617888,6.504825846354167,0.7697864714254904
0.35,4,60,True,0.18673957541966907,0.0672286221521869,5.6682861328125,0.9456618268358985
0.35,4,61,True,0.18477022097604445,0.0685764580294666,5.6863525390625,0.943232790481681
0.35,4,62,True,0.1696562686855576,0.05509371158179108,5.902522786458333,0.9144630857071188
0.35,4,63,True,0.13912375935496818,0.032446007519294356,6.4302978515625,0.7984618966443234
0.35,4,6,True,0.1298902929387152,0.023904641906149326,6.676949055989583,0.7009861208136285
0.35,4,7,True,0.2617861174459424,0.13351831620546475,5.059842936197916,0.887231664815399
0.35,4,8,True,0.2003784700535562,0.07775663649160512,5.48836669921875,0.9447403398683879
0.35,4,9,True,0.16232384094718572,0.04917315958658529,6.015323893229167,0.8947334675852163
