mu,seed,ordered,fdom_mean,fdom_std
1.0,0,False,0.338067626953125,0.0024242740971874063
1.0,1,False,0.3379720052083333,0.0022490072473858053
1.0,10,False,0.33694254557291664,0.002076734582822166
1.0,11,False,0.3377176920572917,0.0027815376935410173
1.0,12,False,0.337835693359375,0.0020641767400429814
1.0,13,False,0.33822835286458336,0.0025481590929210115
1.0,14,False,0.33772176106770835,0.001872541838406156
1.0,15,False,0.337274169921875,0.0024013203868051866
1.0,16,False,0.33851318359375,0.002760894781968489
1.0,17,False,0.3375345865885417,0.002258195387755109
1.0,18,False,0.33726399739583335,0.0015509763264519448
1.0,19,False,0.33712158203125,0.0025410766437856005
1.0,2,False,0.33786214192708336,0.0022150371212189247
1.0,20,False,0.3380228678385417,0.0019013264847691613
1.0,21,False,0.33793538411458335,0.002439265690296487
1.0,22,False,0.33744710286458335,0.00231085761345352
1.0,23,False,0.33746744791666666,0.002808719731810873
1.0,24,False,0.33743082682291664,0.0024399681094088473
1.0,25,False,0.338140869140625,0.0033825574929998835
1.0,26,False,0.33773600260416664,0.002275759367381629
1.0,27,False,0.3380655924479167,0.002543476539094842
1.0,28,False,0.337750244140625,0.0029932605588873238
1.0,29,False,0.3374247233072917,0.0026302060986499926
1.0,3,False,0.3377176920572917,0.0025601845245719437
1.0,30,False,0.33785400390625,0.002921223600129809
1.0,31,False,0.33792724609375,0.002873652003961019
1.0,32,False,0.33828328450520834,0.0031326630467645397
1.0,33,False,0.3384297688802083,0.00242195433483279
1.0,34,False,0.337322998046875,0.0016179996668650625
1.0,35,False,0.33724365234375,0.002015060069637841
1.0,36,False,0.33755900065104166,0.0021932315292834854
1.0,37,False,0.337445068359375,0.002038437159150952
1.0,38,False,0.33782552083333334,0.0022245023539984106
1.0,39,False,0.33799845377604165,0.0028076916376092885
1.0,4,False,0.3377176920572917,0.0024671636936079893
1.0,40,False,0.3379597981770833,0.0029289555518309893
1.0,41,False,0.3379923502604167,0.002535878328594219
1.0,42,False,0.3382568359375,0.002518566252361526
1.0,43,False,0.3383687337239583,0.0027990717924154334
1.0,44,False,0.3376993815104167,0.0024616033336212124
1.0,45,False,0.33840738932291664,0.0026248775887582846
1.0,46,False,0.337371826171875,0.0017723156297599603
1.0,47,False,0.33717447916666665,0.002075191323270267
