mu,rm,seed,ordered,bd_mean,bd_std,deg_mean,deg_std
0.355,4,57,True,0.5473144173144042,0.003521479370628661,3.92574462890625,0.009497569773010126
0.355,4,58,True,0.547309122946773,0.004116354696157758,3.9350179036458335,0.013374967838458632
0.355,4,59,True,0.546114538024332,0.00410960336278785,3.92744140625,0.0115360686478197
0.355,4,5,True,0.5455948710104918,0.004303967722951968,3.909256998697917,0.019465334821156182
0.355,4,60,True,0.3161322996435419,0.14776813874950595,4.726582845052083,0.7522112627607349
0.355,4,61,True,0.21910377885055737,0.0969040649509047,5.371089680989583,0.9245763631687312
0.355,4,62,True,0.5459787615456213,0.0038003836381887163,3.908125813802083,0.015003809820358175
0.355,4,63,True,0.5452680273829967,0.0041401972965622634,3.92125244140625,0.010112666490910862
0.355,4,6,True,0.5470917494402994,0.003145011319564477,3.9113810221354166,0.011806855488559113
0.355,4,7,True,0.3989427631361773,0.14539510948424547,4.320975748697917,0.500671246769508
0.355,4,8,True,0.34935470956138454,0.1522577915008198,4.5655517578125,0.6673821838989216
0.355,4,9,True,0.24287076136749747,0.11567112617731788,5.216544596354167,0.9188005106600957
