mu,seed,ordered,fdom_mean,fdom_std
0.1,0,False,0.94708740234375,0.002853152733090373
0.1,1,False,0.86970947265625,0.11627164613532728
0.1,10,False,0.947451171875,0.0029224295676353444
0.1,11,False,0.94873291015625,0.0023377965973546606
0.1,12,False,0.94662353515625,0.002627837872327695
0.1,13,False,0.9157373046875,0.04099419562610395
0.1,14,False,0.74115966796875,0.018267378149423648
0.1,15,False,0.911220703125,0.07396800616413712
0.1,16,False,0.947763671875,0.002817824938906252
0.1,17,False,0.9479296875,0.002455120174317953
0.1,18,False,0.847734375,0.041101019908845356
0.1,19,False,0.94740478515625,0.0026397416482571655
0.1,2,False,0.94828369140625,0.0024512569823061073
0.1,20,False,0.947900390625,0.003314563036811942
0.1,21,False,0.86462158203125,0.05384470004828228
0.1,22,False,0.7320849609375,0.014823690412552623
0.1,23,False,0.9042333984375,0.07474522127868839
0.1,24,False,0.9469775390625,0.0023169266886434053
0.1,25,False,0.738837890625,0.03916761872304555
0.1,26,False,0.94783203125,0.0024973163505902767
0.1,27,False,0.94865966796875,0.0025603170633665315
0.1,28,False,0.8087744140625,0.12380732711237946
0.1,29,False,0.948466796875,0.002971990723868843
0.1,3,False,0.929296875,0.02576698139569266
0.1,30,False,0.8749755859375,0.10507551849422463
0.1,31,False,0.94834716796875,0.0022266722534969997
0.1,32,False,0.94864990234375,0.002823163058142861
0.1,33,False,0.8818603515625,0.039393400555234444
0.1,34,False,0.9487255859375,0.00220538322561272
0.1,35,False,0.94697021484375,0.002592187157849915
0.1,36,False,0.916923828125,0.05985263479626867
0.1,37,False,0.94834716796875,0.002595567365300878
0.1,38,False,0.947705078125,0.001964990811314344
0.1,39,False,0.94712158203125,0.0031202700104396917
0.1,4,False,0.948388671875,0.0018165112536853783
0.1,40,False,0.9477783203125,0.002310001260501138
0.1,41,False,0.86327880859375,0.11186442112054681
0.1,42,False,0.58115234375,0.05166801580339116
0.1,43,False,0.794423828125,0.020027320500199074
0.1,44,False,0.94790283203125,0.002013611134927461
0.1,45,False,0.5670361328125,0.06702651702959707
0.1,46,False,0.948017578125,0.0017902950388955293
0.1,47,False,0.7377294921875,0.17641030856820034
0.1,48,False,0.94812744140625,0.002293318817606534
0.1,49,False,0.94884033203125,0.0028075641129494326
0.1,5,False,0.9472119140625,0.002847893850202118
0.1,50,False,0.94816650390625,0.0022481017052188848
0.1,51,False,0.8910693359375,0.04933447031480804
0.1,52,False,0.76117431640625,0.009439673192501512
0.1,53,False,0.79962890625,0.1516120360918454
0.1,54,False,0.871650390625,0.09003573814097139
0.1,55,False,0.6726416015625,0.1540668589457007
0.1,56,False,0.94731689453125,0.002848069651544932
0.1,57,False,0.94327392578125,0.010758903675242746
0.1,58,False,0.94732666015625,0.002196315984022418
0.1,59,False,0.9481103515625,0.0028657513173591244
0.1,6,False,0.9484375,0.0029269905392383445
0.1,60,False,0.947734375,0.002121055195213882
0.1,61,False,0.60057373046875,0.0974710325467324
0.1,62,False,0.94766845703125,0.003030885654851269
0.1,63,False,0.71552001953125,0.15815490733844728
0.1,7,False,0.9478955078125,0.002696384824760639
0.1,8,False,0.5339599609375,0.025012758099064576
0.1,9,False,0.94863037109375,0.0027825541492550285
0.3333333333333333,0,False,0.345908203125,0.0064764456928243655
0.3333333333333333,1,False,0.344501953125,0.007180509899969045
0.3333333333333333,10,False,0.34660400390625,0.006586760228582629
0.3333333333333333,11,False,0.34379638671875,0.006158668778729591
0.3333333333333333,12,False,0.34665771484375,0.008014748151681093
0.3333333333333333,13,False,0.34902587890625,0.007192812904814994
0.3333333333333333,14,False,0.34921142578125,0.008838617621601043
0.3333333333333333,15,False,0.34947509765625,0.009162513413360895
0.3333333333333333,16,False,0.3474267578125,0.005755075536608348
0.3333333333333333,17,False,0.3498876953125,0.008328650509856811
0.3333333333333333,18,False,0.34865966796875,0.007167722609448964
0.3333333333333333,19,False,0.349326171875,0.008969350442491891
0.3333333333333333,2,False,0.348212890625,0.007927399103105444
0.3333333333333333,20,False,0.3496923828125,0.00878863659992393
0.3333333333333333,21,False,0.35106689453125,0.010148637119177111
0.3333333333333333,22,False,0.34809814453125,0.008908929923563496
0.3333333333333333,23,False,0.34870361328125,0.011081183394712231
0.3333333333333333,24,False,0.3484130859375,0.009356400795780812
0.3333333333333333,25,False,0.34703369140625,0.007069757766458749
0.3333333333333333,26,False,0.34674560546875,0.007353881178403543
0.3333333333333333,27,False,0.34702392578125,0.006654117117139738
0.3333333333333333,28,False,0.346494140625,0.005930292875124071
0.3333333333333333,29,False,0.34608154296875,0.008923581977199654
0.3333333333333333,3,False,0.349287109375,0.00761054350793125
0.3333333333333333,30,False,0.34746826171875,0.008072178878705736
0.3333333333333333,31,False,0.34666259765625,0.006687615580763214
0.3333333333333333,32,False,0.34711181640625,0.007312692753786343
0.3333333333333333,33,False,0.3457177734375,0.006733199262543219
0.3333333333333333,34,False,0.3468701171875,0.006776657729373611
0.3333333333333333,35,False,0.34845458984375,0.006268472076979414
0.3333333333333333,36,False,0.346767578125,0.009802178901641595
0.3333333333333333,37,False,0.34375244140625,0.005313312244030411
0.3333333333333333,38,False,0.34544921875,0.007590235049713138
0.3333333333333333,39,False,0.35064453125,0.007725083135262449
0.3333333333333333,4,False,0.3480908203125,0.007929015483474
0.3333333333333333,40,False,0.347001953125,0.0077551745090981
0.3333333333333333,41,False,0.34787841796875,0.007271003783085342
0.3333333333333333,42,False,0.348076171875,0.0063467246912593134
0.3333333333333333,43,False,0.34876220703125,0.006061385848713347
0.3333333333333333,44,False,0.34866943359375,0.00801365336955958
0.3333333333333333,45,False,0.34895751953125,0.009799299849586923
0.3333333333333333,46,False,0.34803955078125,0.008197628541283553
0.3333333333333333,47,False,0.34479736328125,0.005952669141241627
0.3333333333333333,48,False,0.34837158203125,0.00718701900033707
0.3333333333333333,49,False,0.3449755859375,0.006433277337748026
0.3333333333333333,5,False,0.34614501953125,0.008186947083185356
0.3333333333333333,50,False,0.3473779296875,0.00679097412728639
0.3333333333333333,51,False,0.3501123046875,0.00949865929027266
0.3333333333333333,52,False,0.34653564453125,0.007044184338126165
0.3333333333333333,53,False,0.34774658203125,0.010431579532526535
0.3333333333333333,54,False,0.35150634765625,0.008658441672383159
0.3333333333333333,55,False,0.34985107421875,0.007713558814325705
0.3333333333333333,56,False,0.3483740234375,0.007621710583679658
0.3333333333333333,57,False,0.3511181640625,0.00989085236057546
0.3333333333333333,58,False,0.35122314453125,0.010634392345592556
0.3333333333333333,59,False,0.346748046875,0.007769702416591965
0.3333333333333333,6,False,0.3482275390625,0.007507966896398747
0.3333333333333333,60,False,0.34607421875,0.007879937364987691
0.3333333333333333,61,False,0.3446826171875,0.0068723205199938695
0.3333333333333333,62,False,0.3466650390625,0.007540532892757826
0.3333333333333333,63,False,0.347041015625,0.008513578116418521
0.3333333333333333,7,False,0.34650146484375,0.005297314875969911
0.3333333333333333,8,False,0.34847900390625,0.008597080625670045
0.3333333333333333,9,False,0.34824462890625,0.011023954664571749
0.25,0,False,0.3798583984375,0.022312756897545347
0.25,1,False,0.3798828125,0.021694336486994984
0.25,10,False,0.37512939453125,0.022832071974875467
0.25,11,False,0.36734619140625,0.018792826697780624
0.25,12,False,0.37963623046875,0.021783853285007187
0.25,13,False,0.374521484375,0.02213473533628972
0.25,14,False,0.3729296875,0.015752150267699418
0.25,15,False,0.37077392578125,0.022099671407992648
0.25,16,False,0.37163330078125,0.01331434815521965
0.25,17,False,0.3784912109375,0.025641879593249532
0.25,18,False,0.37629638671875,0.020763921755364588
0.25,19,False,0.3741796875,0.02005511646532714
0.25,2,False,0.379951171875,0.024461369693706346
0.25,20,False,0.3774169921875,0.01965854362120898
0.25,21,False,0.3826611328125,0.023288290764103093
0.25,22,False,0.37783935546875,0.018369056259359026
0.25,23,False,0.36982177734375,0.021934351648975055
0.25,24,False,0.37296630859375,0.01452504097149794
0.25,25,False,0.3733984375,0.021804001439617433
0.25,26,False,0.381806640625,0.024092246160813693
0.25,27,False,0.3798291015625,0.020741145795680965
0.25,28,False,0.38095703125,0.01893413253152959
0.25,29,False,0.38171630859375,0.025681768896449974
0.25,3,False,0.38065185546875,0.02713070297058821
0.25,30,False,0.37578369140625,0.02287939401542692
0.25,31,False,0.3751025390625,0.019418534007619264
0.25,32,False,0.369599609375,0.017125417425818107
0.25,33,False,0.3747705078125,0.02122975956242053
0.25,34,False,0.37832275390625,0.01878384936175877
0.25,35,False,0.3878125,0.02015623669291212
0.25,36,False,0.381396484375,0.02003485860471476
0.25,37,False,0.36945068359375,0.01763197318578021
0.25,38,False,0.37577880859375,0.015092514761537919
0.25,39,False,0.3743408203125,0.02328327298175888
0.25,4,False,0.37700927734375,0.02419487742598518
0.25,40,False,0.37564453125,0.021239736827416065
0.25,41,False,0.37402587890625,0.023651736414677514
0.25,42,False,0.3755810546875,0.017652119516297853
