mu,rm,seed,ordered,bd_mean,bd_std,deg_mean,deg_std
0.35,4,0,True,0.2643062998604782,0.1193562589288718,4.9376708984375,0.7564542385237553
0.35,4,10,True,0.4429822847299009,0.12819819760321474,4.133807373046875,0.28416101722080817
0.35,4,11,True,0.370175992047275,0.15070024955709815,4.42552490234375,0.5253842360877387
0.35,4,12,True,0.5451945562394711,0.0020900973687497776,3.93074951171875,0.008390811296522412
0.35,4,13,True,0.5444972549957366,0.001735286796071401,3.932183837890625,0.012317219664683984
0.35,4,14,True,0.3316139473577414,0.14916550698261394,4.5852294921875,0.6264674056276549
0.35,4,15,True,0.5452623036247217,0.0010472635058440876,3.9390411376953125,0.012053409966706893
0.35,4,16,True,0.5462498378201792,0.001978111378831467,3.9199859619140627,0.010993306380929236
0.35,4,17,True,0.21358454454901352,0.0777027302164501,5.29630126953125,0.8180836073847662
0.35,4,18,True,0.5457270954579488,0.0011898123219639246,3.940728759765625,0.010509775396745524
0.35,4,19,True,0.33538870295927287,0.14804989797606116,4.561849975585938,0.605678477887662
0.35,4,1,True,0.5441128066426835,0.0019182580689727517,3.943634033203125,0.008646034368605981
0.35,4,20,True,0.5452521600617233,0.001071230942402813,3.9388641357421874,0.010503058457128312
0.35,4,21,True,0.5450537213992963,0.0017300137254595597,3.9448699951171875,0.01122366865194346
0.35,4,22,True,0.4385395540769473,0.13173691880125538,4.149749755859375,0.3066153819633897
0.35,4,23,True,0.5444440801733818,0.002600772071345529,3.9372711181640625,0.00683848810296001
0.35,4,24,True,0.5447249316456764,0.001981186678168571,3.9294830322265626,0.01278175889345174
0.35,4,25,True,0.2646799648693766,0.12125028304605959,4.93533935546875,0.7568714630403021
0.35,4,26,True,0.5444412036388603,0.0022049714477617604,3.9289825439453123,0.01070761275008413
0.35,4,27,True,0.22172012866683968,0.08142496770635947,5.187960815429688,0.806669125440234
0.35,4,28,True,0.5445583879432195,0.0015294002545467957,3.9354034423828126,0.01512074427445957
0.35,4,29,True,0.5451762137202334,0.0018900377654879842,3.9256195068359374,0.011331633731453726
0.35,4,2,True,0.5443377507528366,0.002660909234128049,3.9408294677734377,0.012181120648707746
0.35,4,30,True,0.3034705126117488,0.13841147417259564,4.71280517578125,0.6791248994996938
0.35,4,31,True,0.543427996225087,0.001666719375019247,3.929937744140625,0.0073940861120113405
0.35,4,3,True,0.4468041425380145,0.12255678980461113,4.108395385742187,0.2556554547522666
0.35,4,4,True,0.26287617417961157,0.11940028307699165,4.948544311523437,0.7643314847683897
0.35,4,5,True,0.5447378057970516,0.0015767923924689315,3.93798828125,0.012216861581364194
0.35,4,6,True,0.5454445679393757,0.002273766333405273,3.94375,0.014290562992557859
0.35,4,7,True,0.5438972647700274,0.002163078276625048,3.94591064453125,0.005936687940981188
0.35,4,8,True,0.5447987924299166,0.001347674444248998,3.9244384765625,0.00909499606873237
0.35,4,9,True,0.20680925591522872,0.07124543083214999,5.336395263671875,0.817636367935008
