mu,seed,ordered,fdom_mean,fdom_std
0.33,0,False,0.92869873046875,0.0068984380645002895
0.33,1,False,0.9286722819010417,0.006290560149791157
0.33,10,False,0.9268330891927083,0.007948575432500493
0.33,11,False,0.9282633463541666,0.007235525489689533
0.33,12,False,0.9281290690104167,0.007185641983848437
0.33,13,False,0.9282613118489583,0.005802203759291132
0.33,14,False,0.92686767578125,0.007925102649790076
0.33,15,False,0.928082275390625,0.006315475466060756
0.33,16,False,0.9275126139322917,0.007245989339189925
0.33,17,False,0.9282674153645833,0.007191950300243913
0.33,18,False,0.9272054036458334,0.008251542802850686
0.33,19,False,0.9272928873697917,0.008013626768740545
0.33,2,False,0.9302652994791667,0.0062811815417319556
0.33,20,False,0.9293863932291667,0.005692542664402402
0.33,21,False,0.925787353515625,0.008506052166125844
0.33,22,False,0.9304931640625,0.005621851463756308
0.33,23,False,0.92891845703125,0.0065816655420569805
0.33,24,False,0.9294474283854167,0.005917870325235939
0.33,25,False,0.9295064290364583,0.005578882241993899
0.33,26,False,0.927197265625,0.008870830935693946
0.33,27,False,0.9293070475260417,0.006284797346311266
0.33,28,False,0.9296223958333333,0.005792038734066196
0.33,29,False,0.9296610514322917,0.006242351686845859
0.33,3,False,0.92769775390625,0.006401588015186975
0.33,30,False,0.9287089029947917,0.006739849024905285
0.33,31,False,0.929052734375,0.0063326653726426966
0.33,32,False,0.928143310546875,0.0068102061685390665
0.33,33,False,0.9290506998697917,0.006544640234264326
0.33,34,False,0.928271484375,0.006191211621166624
0.33,35,False,0.9282389322916667,0.006738512216439657
0.33,36,False,0.9290181477864583,0.00610812170220228
0.33,37,False,0.9275980631510417,0.007003735348437289
0.33,38,False,0.9291178385416666,0.00580831817997142
0.33,39,False,0.9281270345052083,0.007723149256603532
0.33,4,False,0.928594970703125,0.006839303595715057
0.33,40,False,0.9291666666666667,0.006324780316782603
0.33,41,False,0.9287129720052083,0.007184669851943517
0.33,42,False,0.9278788248697917,0.006892947182185691
0.33,43,False,0.9287495930989583,0.0060541313353477
0.33,44,False,0.9284159342447916,0.006694012192060127
0.33,45,False,0.9289143880208334,0.006377698443562153
0.33,46,False,0.9288736979166666,0.006963722306549882
0.33,47,False,0.9275390625,0.007684798828326289
0.33,48,False,0.9279398600260417,0.007698635722015152
0.33,49,False,0.9264689127604167,0.007974735164862221
0.33,5,False,0.9296875,0.005483638840815285
0.33,50,False,0.9272237141927083,0.0073585634663777
0.33,51,False,0.9295694986979167,0.00606231892152557
0.33,52,False,0.9266276041666667,0.008327720659311895
0.33,53,False,0.9282857259114583,0.006901337059464676
0.33,54,False,0.9277262369791667,0.007378958268456518
0.33,55,False,0.9290018717447917,0.006314837066664893
0.33,56,False,0.9288045247395833,0.007052131539973108
0.33,57,False,0.9302815755208333,0.005621708625186755
0.33,58,False,0.9285380045572916,0.0068339223767727155
0.33,59,False,0.9279520670572917,0.006863035052023427
0.33,6,False,0.9281473795572917,0.00681781516199075
0.33,60,False,0.9279744466145833,0.006195553080487058
0.33,61,False,0.9273661295572917,0.007253833954130768
0.33,62,False,0.9303120930989583,0.005325509656600603
0.33,63,False,0.9286519368489583,0.005961783828861158
0.33,7,False,0.9290140787760417,0.006418633071447678
0.33,8,False,0.9289774576822917,0.00678827807810441
0.33,9,False,0.927685546875,0.0074885502148240414
0.345,0,False,0.9127848307291667,0.016309631781623413
